
"Player ID:",1252824
"Player Name:",Rinpei Shibamoto

"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle","Session Name","Intent Type","Release Extension (ft)"
1,"Sat Aug 16 2025 2:02:01 AM",1755309721,"Slider","Y",4.68,80.71,124.61,2212.13,693.6,31.35,"12:10",1,0.7,-11.2,"-","-",17.3,0.6,-2.17,1.92,1.36,0.75,71.73,"1252824@1755309721","V3P4CDSP1404A",1,-13.252986,120.45185,1,0,0.49090302,0.6586177,-0.57029545,-0.8697135,0.33206737,-0.36514318,-0.051113304,0.67524356,0.73582166,-3.030998,-6.3182936,"untitled","-",2.4264755
2,"Sat Aug 16 2025 2:01:31 AM",1755309691,"Fastball","N",40.22,65.73,137.9,2302.8,2288.9,99.4,"01:26",1,24.4,36.8,"-","-",42.6,40.9,-2.58,-0.27,1.38,0.74,-6.3,"1252824@1755309691","V3P4CDSP1404A",1,-11.8626375,0.3775158,1,0,0.9994738,-0.0038601612,0.032206934,0.012931075,0.9580028,-0.28646702,-0.029748525,0.28673273,0.9575486,0.22405979,-5.2183523,"untitled","-",2.3213196
3,"Sat Aug 16 2025 2:00:58 AM",1755309658,"Slider","N",-33.06,33.06,116.83,2390.75,1020,42.67,"07:42",1,-13.8,-36.2,"-","-",-19,-23.8,-2.54,1.17,1.35,0.72,64.74,"1252824@1755309658","V3P4CDSP1404A",1,2.0324273,121.40567,1,0,0.41634697,0.9051419,0.085868396,-0.6096079,0.34797594,-0.7122436,-0.6745617,0.2441944,0.69666034,-5.3106027,-8.975983,"untitled","-","-"
4,"Sat Aug 16 2025 2:00:17 AM",1755309617,"Fastball","N",-19.66,41.64,135.28,2278.86,2248,98.65,"01:26",1,30.2,36.7,"-","-",45.4,44.5,-4.39,-1.04,1.43,0.69,-9.44,"1252824@1755309617","V3P4CDSP1404A",1,11.161925,1.1203701,0.5,0,0.99991757,0.0033556856,0.012393887,-0.004211953,0.99755764,0.06972113,-0.012129654,-0.06976758,0.9974895,-1.687633,-6.309925,"untitled","-",1.7519722
5,"Sat Aug 16 2025 1:59:47 AM",1755309587,"Slider","Y",8.74,75,122.34,2258.84,856.8,37.93,"12:16",1,"-","-","-","-",24.2,2.4,-2.35,2.35,1.34,0.86,67.71,"1252824@1755309587","V3P4CDSP1404A",1,-1.8293526,130.25327,1,0,0.39887497,0.51101655,-0.76142025,-0.9124635,0.13863994,-0.38495368,-0.09115442,0.8483166,0.5215839,-3.0003164,-6.7210493,"untitled","-",1.4248257
6,"Sat Aug 16 2025 1:59:24 AM",1755309564,"CurveBall","N",-39.3,16.46,95.82,2038.31,1573.6,77.2,"06:56",1,-42.2,-26.4,"-","-",-46.9,-27.1,-2.59,3.17,1.5,0.57,39.46,"1252824@1755309564","V3P4CDSP1404A",1,-13.938357,42.928886,1,0,0.26706854,-0.05627278,0.96203303,-0.93406093,-0.260706,0.24405347,0.23707438,-0.96377665,-0.12218845,-4.612711,-13.359595,"untitled","-","-"
7,"Sat Aug 16 2025 1:58:52 AM",1755309532,"Cutter","Y",7.79,60.22,127.08,2231.75,1292.1,57.9,"01:06",1,"-","-","-","-",27.9,18.6,-2.22,0.59,1.4,0.77,54.62,"1252824@1755309532","V3P4CDSP1404A",1,8.963034,122.42489,0.5,0,-0.14363779,0.4402654,-0.88630384,-0.9826416,0.042797323,0.18050997,0.11740366,0.8968471,0.42647582,-2.869119,-6.5881286,"untitled","-",2.3557682
8,"Sat Aug 16 2025 1:57:46 AM",1755309466,"CurveBall","-","-","-","-",1038.86,1016.5,97.85,"07:28",1,"-","-","-","-","-","-",0,0,0,0,11.91,"1252824@1755309466","V3P4CDSP1404A",1,21.921461,11.398992,0.5,0,0.28189862,0.95887583,0.03301936,0.91140836,-0.2568733,-0.32148248,-0.29977998,0.12071959,-0.9463397,"-","-","untitled","-","-"
9,"Sat Aug 16 2025 1:57:20 AM",1755309440,"ChangeUp","N",36.53,-7.08,117.87,1803.56,1263.5,70.05,"02:22",1,5.8,37.3,"-","-",14.9,48.9,-2.59,-0.49,1.39,0.75,-45.53,"1252824@1755309440","V3P4CDSP1404A",1,39.60602,93.63835,1,0,0.36847046,-0.5534428,-0.7469474,0.9055059,0.3955562,0.15360437,0.21044838,-0.7329641,0.64689654,0.031134298,-9.684556,"untitled","-",1.1731396
10,"Sat Aug 16 2025 1:56:49 AM",1755309409,"Slider","Y",25.19,75.77,121.54,2123.8,729.1,34.33,"12:08",1,"-","-","-","-",17.9,0.3,-1.66,1.83,1.38,0.76,69.92,"1252824@1755309409","V3P4CDSP1404A",1,-53.87681,12.198806,1,0,0.993281,-0.07653863,0.08680212,0.039237913,0.92836475,0.36959338,-0.1088722,-0.3637042,0.9251303,-2.239716,-6.8946657,"untitled","-","-"
11,"Sat Aug 16 2025 1:56:21 AM",1755309381,"ChangeUp","-","-","-","-",2247.81,2171.4,96.6,"01:26",1,"-","-","-","-","-","-",0,0,0,0,-14.98,"1252824@1755309381","V3P4CDSP1404A",1,-5.071073,5.7351594,1,0,0.99829584,-0.033931814,-0.047476597,0.017892597,0.952366,-0.30443206,0.055545032,0.3030638,0.9513501,"-","-","untitled","-","-"
12,"Sat Aug 16 2025 1:55:43 AM",1755309343,"Fastball","Y",5.9,76.53,137.31,2378.54,2321.2,97.59,"01:30",1,"-","-","-","-",52.7,54.7,-3.8,-0.02,1.48,0.78,-12.61,"1252824@1755309343","V3P4CDSP1404A",1,20.996233,23.767296,1,0,0.92824423,-0.02450513,-0.37116325,0.10217561,0.97624254,0.19107756,0.35766298,-0.21529046,0.90869534,-1.056306,-4.9104753,"untitled","-",1.2171135
13,"Sat Aug 16 2025 1:54:41 AM",1755309281,"ChangeUp","Y",24.18,71.3,123.34,1528.09,1509.2,98.76,"01:50",1,15.1,40.8,"-","-",32.4,48.4,-3.16,1.36,1.41,0.74,-9.03,"1252824@1755309281","V3P4CDSP1404A",1,-11.794316,19.538908,0.5,0,0.874357,-0.08101809,-0.4784725,-0.07805882,0.9496464,-0.30344442,0.47896418,0.3026677,0.82400584,-0.20388766,-6.497236,"untitled","-",1.5252743
14,"Sat Aug 16 2025 1:54:04 AM",1755309244,"Fastball","N",49.85,91.84,134.55,2316.36,2251.9,97.22,"01:22",1,31.4,37.8,"-","-",46.8,42.6,-2.24,0.61,1.45,0.76,-13.55,"1252824@1755309244","V3P4CDSP1404A",1,-2.8096807,9.965576,1,0,0.99330986,-0.05167038,-0.103275016,0.02443759,0.9681125,-0.2493211,0.11286435,0.2451293,0.9628984,0.53887975,-4.554101,"untitled","-",1.718153
15,"Sat Aug 16 2025 1:53:27 AM",1755309207,"Fastball","N",62.73,72.16,134.81,856.14,856,99.98,"01:22",1,24.2,31.5,"-","-",24.2,21.5,-1.79,-0.23,1.42,0.8,-1.04,"1252824@1755309207","V3P4CDSP1404A",1,-5.6929684,154.514,1,0,-0.79366803,-0.36942863,-0.48333567,-0.35568255,0.9263467,-0.12398234,0.49353907,0.07351327,-0.8666111,0.6153452,-5.0782228,"untitled","-","-"
16,"Sat Aug 16 2025 1:52:37 AM",1755309157,"ChangeUp","N",-56.8,77.62,112.25,1663.98,1398.6,84.05,"01:58",1,14.9,29,"-","-",27.5,49,-5.49,2.53,1.39,0.71,-32.8,"1252824@1755309157","V3P4CDSP1404A",1,21.54031,97.722176,1,0,0.047693845,-0.1796335,-0.9825767,0.82893085,0.55597013,-0.061405938,0.55731386,-0.81155956,0.17542015,-3.3807676,-7.246069,"untitled","-",1.6558018
17,"Sat Aug 16 2025 1:52:12 AM",1755309132,"Slider","N",-46.18,63.92,123.39,2167.05,655.6,30.25,"12:10",1,"-","-","-","-",18.7,0.1,-3.92,2.04,1.37,0.81,72.39,"1252824@1755309132","V3P4CDSP1404A",1,-11.282455,119.974495,1,0,0.45475194,0.7040826,-0.5454067,-0.88461804,0.28611887,-0.36822143,-0.10320711,0.649926,0.75295717,-4.8486094,-7.393532,"untitled","-",1.3794041
18,"Sat Aug 16 2025 1:51:47 AM",1755309107,"CurveBall","N",-70.5,73.94,88.53,1989.87,1550.3,77.91,"06:36",1,-35.5,-24.1,"-","-",-52,-19.8,-3.96,6.07,1.62,0.61,38.82,"1252824@1755309107","V3P4CDSP1404A",1,-9.851098,53.998035,1,0,-0.0928948,0.004955591,0.9956636,-0.98186386,-0.16644095,-0.09077888,0.16526932,-0.986039,0.020327212,-5.830892,-13.25098,"untitled","-","-"
19,"Sat Aug 16 2025 1:51:21 AM",1755309081,"Fastball","Y",-7.24,86.99,135.29,2294.63,2262.6,98.61,"01:26",1,"-","-","-","-",47.8,46.4,-4.28,0.8,1.43,0.77,-9.58,"1252824@1755309081","V3P4CDSP1404A",1,21.45158,15.949397,1,0,0.97407395,0.01610684,-0.22565588,0.045743436,0.96283656,0.26618293,0.22155711,-0.26960412,0.93713725,-1.5658088,-5.036739,"untitled","-",1.8291073
20,"Sat Aug 16 2025 1:50:40 AM",1755309040,"Fastball","N",62.73,123.38,135.86,2239.76,2235.1,99.79,"01:12",1,33.5,33.6,"-","-",48.4,36.6,-1.81,1.49,1.46,0.8,-3.71,"1252824@1755309040","V3P4CDSP1404A",1,-8.850313,0.7434418,0.5,0,0.9905782,-0.011067985,0.13650069,0.035433494,0.98350203,-0.17739293,-0.13228531,0.18055825,0.9746278,0.7090274,-3.3761182,"untitled","-",1.952467
21,"Sat Aug 16 2025 1:50:09 AM",1755309009,"Cutter","N",-44.68,84.52,124.13,2023.26,1022.8,50.55,"12:36",1,"-","-","-","-",27.9,8.9,-3.93,2.2,1.42,0.79,59.64,"1252824@1755309009","V3P4CDSP1404A",1,2.5916753,127.67807,1,0,0.19818619,0.45935866,-0.86585885,-0.9801371,0.08630842,-0.17855461,-0.007289839,0.8840476,0.46733987,-4.9070344,-6.6400676,"untitled","-",1.8756008
22,"Sat Aug 16 2025 1:49:49 AM",1755308989,"Fastball","Y",18.64,96.93,136.35,2217.27,2186.8,98.63,"01:26",1,31.3,31,"-","-",43.3,42.6,-3.17,0.69,1.46,0.77,-9.5,"1252824@1755308989","V3P4CDSP1404A",1,13.978838,2.629193,1,0,0.9998044,0.0019028949,-0.019687098,0.000516584,0.99250937,0.12216753,0.019772101,-0.12215379,0.9923142,-0.85765785,-4.445269,"untitled","-",1.816122
23,"Sat Aug 16 2025 1:49:23 AM",1755308963,"ChangeUp","N",36.11,77.55,131.86,2190.24,2159.9,98.62,"01:26",1,"-","-","-","-",42.4,41,-2.95,0.32,1.45,0.81,-9.54,"1252824@1755308963","V3P4CDSP1404A",1,15.405151,19.276733,0.5,0,0.9579343,-0.010538686,-0.28679383,0.053245287,0.98850197,0.14152318,0.28200483,-0.15084034,0.94748116,-0.17519231,-5.5603447,"untitled","-",2.3544865
24,"Sat Aug 16 2025 1:49:02 AM",1755308942,"ChangeUp","N",-67.97,87.84,120.7,2117.91,2063,97.41,"01:26",1,24.8,32,"-","-",44,42.3,-6.03,0.6,1.59,0.65,-13.08,"1252824@1755308942","V3P4CDSP1404A",1,11.62552,3.1210697,0.33333334,0,0.99996996,0.0017930358,-0.0075410656,-0.001356121,0.99834174,0.057549194,0.0076317484,-0.057537243,0.9983142,-3.638117,-5.9407487,"untitled","-","-"
25,"Sat Aug 16 2025 1:48:43 AM",1755308923,"ChangeUp","Y",-22.57,89.7,120.98,2170.28,2145.3,98.85,"01:10",1,29.2,26.9,"-","-",47.8,35.5,-4.46,0.49,1.59,0.71,-8.7,"1252824@1755308923","V3P4CDSP1404A",1,-5.6414237,7.004017,1,0,0.998821,-0.022550382,0.04298809,0.02995522,0.983162,-0.18026446,-0.038199224,0.18133964,0.98267835,-2.3890216,-5.8587418,"untitled","-","-"
26,"Sat Aug 16 2025 1:47:33 AM",1755308853,"ChangeUp","N",24.96,162.14,126.41,1068.38,1068.1,99.98,"01:12",1,19.1,28.8,"-","-",30.7,23,-2.92,3.2,1.59,0.74,-1.22,"1252824@1755308853","V3P4CDSP1404A",1,-5.77332,10.145783,1,0,0.99962205,-0.00696953,-0.026593555,0.0056168023,0.9987028,-0.050606653,0.026911763,0.05043815,0.99836457,-0.6689596,-3.285532,"untitled","-","-"
27,"Sat Aug 16 2025 1:47:11 AM",1755308831,"-","N","-","-",89.83,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1252824@1755308831","V3P4CDSP1404A",0,22.95176,62.30093,0,0,0.4896037,0.68966424,-0.5335272,-0.08910871,0.6482535,0.7561924,0.86737984,-0.32269266,0.3788424,-3.6948988,-11.059865,"untitled","-","-"
